text,intent
the product i received is not what i ordered,complaint
i cant reset my password,troubleshooting
my order arrived later than expected,complaint
the customer support response time has been unsatisfactory,complaint
my account was charged for a subscription i didnt authorize,complaint
how do i track my shipment,faq
do you offer any warranty on your products,faq
i am not receiving email notifications,troubleshooting
the refund process is taking too long,complaint
im unable to access the company vpn,troubleshooting
what is your return policy,faq
i received a damaged product,complaint
the product manual is incomplete and confusing,complaint
im experiencing slow performance after the latest update,troubleshooting
i never received a confirmation email for my order,complaint
how can i contact customer support,faq
the application crashes immediately upon launching,troubleshooting
can i cancel my order,faq
do you have a loyalty program,faq
how do i update my billing information,faq
my software license key is not being accepted during installation,troubleshooting
the website is loading very slowly,troubleshooting
the printer is not responding to print commands,troubleshooting
where can i find troubleshooting guides,faq
